"serial","儲存日期","序號","主旨","提問日期","答覆內容"
"2140","0000-00-00 00:00:00","31669","請問西班牙文書怎麼編目呢?","2022-05-12","R您好： 有關西班牙文圖書資料的編目，若貴館沒有特別為其制定不同的編目政策，原則上可和英文圖書資料採用相同的編目規範，同屬西文編目的作業範圍，當然亦可在WorldCat抄錄您搜尋所得的相關書目資料。 國家圖書館館藏發展及書目管理組敬覆。"
"2141","0000-00-00 00:00:00","31671","西編RDA裝訂方式","2022-05-15","魚您好： 您問題中所述的裝訂用語縮寫，其完整用語形式如下： 裝訂用語縮寫 裝訂用語完整用語形式 lib. bdg. library binding intl. tr. pbk. international trade paperback 實務上亦可直接在欄位020的分欄$q著錄「paperback」。 以上簡要回覆提供您參考。 國家圖書館館藏發展及書目管理組敬覆"
"2142","0000-00-00 00:00:00","31672","漫畫衍生的畫冊集類號","2022-05-16","Iris，您好： 由一漫畫作品衍生而成的畫冊集，須先判斷是否可以單獨使用。 若不可單獨使用，而係屬該漫畫作品之附件，則不另外建立1筆書目紀錄，以附件著錄方式，於該漫畫作品之書目紀錄的稽核項或附註項中載明，例如： 稽核項之著錄： 125面 : 彩圖 ; 21公分 + 1冊畫冊集 附註項之著錄： 附1冊畫冊集 該衍生而成的畫冊集，其分類號同該漫畫作品。 若可單獨使用，而非該漫畫作品之附件，方可另外建立1筆書目紀錄，另建1筆書目紀錄才有分類號給號的考量。 若衍生而成的畫冊集內容仍為漫畫，依據《中文圖書分類法》（2007年版），其類號為「947.41」；若衍生而成的畫冊集之內容已非漫畫，則依主題或繪畫種類畫派等歸類。 圖書館編目如果採詳編，則可在該漫畫作品及衍生作品之兩筆書目上建立書目關係，方便目錄使用者查得其中1筆資料時，透過該筆書目紀錄中的關係欄位，循線得知相關書目與獲取相關資料。 國家圖書館 館藏發展及書目管理組 敬覆"
"2143","0000-00-00 00:00:00","31673","9789863777168擬人化角色設計手冊 此書作者和作品的關係標示?","2022-05-16","Chaochi，您好： 本館書目有關MARC 21欄位100或700之分欄$e相關職責詞語（relator term）的著錄原則為 外文標目採用RDA附錄I所列英文之職責詞語； 中日韓文標目則採用RDA附錄Ｉ英文職責詞語之中譯詞彙「RDA附錄I關係標示：與資源相關之 Agents 與作品、表現形式、具體呈現、或單件之間的關係」（https://catweb.ncl.edu.tw/sites/default/files/upload/standard/RDA%20%E9%99%84%E9%8C%84I%20%EF%BC%9A%E3%80%8C%E8%B3%87%E6%BA%90%E3%80%8D%E8%88%87%E3%80%8C%E5%80%8B%E4%BA%BA%E3%80%81%E5%AE%B6%E6%97%8F%E3%80%81%E5%9C%98%E9%AB%94%E3%80%8D%E4%B9%8B%E9%96%93%E9%97%9C%E4%BF%82%E6%A8%99%E7%A4%BA%2820170912%E6%9B%B4%E6%96%B0%29.pdf）。 以上著錄原則的目的是希望目錄使用者於本館館藏目錄查詢時，中文人名標目於中文姓名後跟隨中文的著作職責、西文人名標目於西文姓名後跟隨英文的著作職責。 臺端所提本館《擬人化角色設計手冊》（ISBN 9789863777168）一書書目之著者欄位100及700資訊，已修正如下： 100 0  $a .suke, $e artist. 700 0  $a Lyon, $e artists. 國家圖書館 館藏發展及書目管理組 敬覆"
"2144","0000-00-00 00:00:00","31674","作者與作品的關係標示, 用中文還是英文","2022-05-16","Chaochi，您好： 本館書目有關MARC 21欄位100或700之分欄$e相關職責詞語（relator term）的著錄原則為 外文標目採用RDA附錄I所列英文之職責詞語； 中日韓文標目則採用RDA附錄Ｉ英文職責詞語之中譯詞彙「RDA附錄I關係標示：與資源相關之 Agents 與作品、表現形式、具體呈現、或單件之間的關係」（https://catweb.ncl.edu.tw/sites/default/files/upload/standard/RDA%20%E9%99%84%E9%8C%84I%20%EF%BC%9A%E3%80%8C%E8%B3%87%E6%BA%90%E3%80%8D%E8%88%87%E3%80%8C%E5%80%8B%E4%BA%BA%E3%80%81%E5%AE%B6%E6%97%8F%E3%80%81%E5%9C%98%E9%AB%94%E3%80%8D%E4%B9%8B%E9%96%93%E9%97%9C%E4%BF%82%E6%A8%99%E7%A4%BA%2820170912%E6%9B%B4%E6%96%B0%29.pdf）。 以上著錄原則的目的是希望目錄使用者於本館館藏目錄查詢時，中文人名標目於中文姓名後跟隨中文的著作職責、西文人名標目於西文姓名後跟隨英文的著作職責。 臺端所提本館《像素藝術背景畫法完全解析》（ISBN 9786263049444）一書書目之著者欄位100資訊，已修正如下： 100 0  $a APO+, $e author. 國家圖書館 館藏發展及書目管理組 敬覆"
"2145","0000-00-00 00:00:00","31675","作者與作品的關係標示, 用中文還是英文","2022-05-16","Chaochi，您好： 本館書目有關MARC 21欄位100或700之分欄$e相關職責詞語（relator term）的著錄原則為 外文標目採用RDA附錄I所列英文之職責詞語； 中日韓文標目則採用RDA附錄Ｉ英文職責詞語之中譯詞彙「RDA附錄I關係標示：與資源相關之 Agents 與作品、表現形式、具體呈現、或單件之間的關係」（https://catweb.ncl.edu.tw/sites/default/files/upload/standard/RDA%20%E9%99%84%E9%8C%84I%20%EF%BC%9A%E3%80%8C%E8%B3%87%E6%BA%90%E3%80%8D%E8%88%87%E3%80%8C%E5%80%8B%E4%BA%BA%E3%80%81%E5%AE%B6%E6%97%8F%E3%80%81%E5%9C%98%E9%AB%94%E3%80%8D%E4%B9%8B%E9%96%93%E9%97%9C%E4%BF%82%E6%A8%99%E7%A4%BA%2820170912%E6%9B%B4%E6%96%B0%29.pdf）。 以上著錄原則的目的是希望目錄使用者於本館館藏目錄查詢時，中文人名標目於中文姓名後跟隨中文的著作職責、西文人名標目於西文姓名後跟隨英文的著作職責。 臺端所提本館《世界第一簡單翻倍操盤術》（ISBN 9789863712848）一書書目之著者欄位100資訊，已修正如下： 100 0  $a J.Jung, |d 1971-  $e author. 國家圖書館 館藏發展及書目管理組 敬覆"
"2146","0000-00-00 00:00:00","31676","關於書標位置","2022-05-18","魏小姐，您好： 圖書館圖書資料之書標黏貼位置，係指將索書號列印或書寫於自黏性標籤，並黏貼於圖書資料書背距下緣2或2.5公分處（依各圖書館之書標黏貼政策而稍有不同），以作為圖書資料上架之依據。 然而有些圖書資料並不適合將書標直接黏貼於書背上，例如薄本、古籍、非書資料等。薄本圖書，書背厚度不足；古籍則因自黏性書標之黏著劑可能破壞紙質；非書資料則因無書背而需另貼他處。 薄本圖書，由於其書背厚度不足，書標黏貼於書背上，並不利於圖書上架或取書。通常圖書館的做法係將書標以相同高度改貼至封面接近書背處（如下圖），但是需避免遮住封面上重要資訊（例如書名或著者）。 由於圖書館圖書資料上架係以書背向外，薄本書標以相同高度改貼至封面接近書背處，圖書館工作人員面對書架上整排圖書時，僅需將該薄本圖書稍微抽出一點點，即可看到該書之索書號，較不影響圖書上架及取書作業。 活頁裝之圖書資料，則需視是否有固定書背。若有固定書背（例如硬質的外殼或資料夾，僅其內容以活頁方式方便資料抽換與更新），則書標仍黏貼於書背上；若無固定書背（例如無硬質的外殼或資料夾，而是活頁紙形成的可變動書背），則書標黏貼位置比照薄本圖書資料處理。 線裝之圖書資料，若為現代出版品，其書標仍黏貼於書背上；若屬古籍、善本等特藏性質之線裝資料，國家圖書館的做法是不貼書標，另以棉紙裁成固定大小之籤條、並以铅筆書寫索書號及條碼號於該籤條上（避免原子筆等油墨腐蝕紙質）、再將該籤條夾於古籍或善本書內。 經摺裝本身並無書背，為免影響翻閱及閱讀，如為現代出版品，則書標黏貼位置比照薄本圖書資料處理；如屬古籍、善本等特藏性質之資料，國家圖書館的做法比照前述古籍、善本，另以籤條方式替代。 光碟屬非書資料，並無書背，或有盛裝光碟片之塑膠套或盛裝盒，為避免書標黏著劑影響光碟，大部分的圖書館僅將書標黏貼於塑膠套或盛裝盒固定位置。若為塑膠套，黏貼於塑膠套左下方固定位置；若為盛裝盒，則黏貼於盛裝盒背距下緣固定高度處。 國家圖書館 館藏發展及書目管理組 敬覆"
"2147","0000-00-00 00:00:00","31680","關於MARC21 500欄位的疑問","2022-05-25","沙子您好： 有關內容語文的附註說明，是依據編目規範而實行的編目實務。依據AACR2（英美編目規則第二版，1978年出版）第17.B2項規則條文，編目時可於附註段著錄在編資料內容所使用的語文，或是譯作、改編相關資訊（Language of the Item and/or Translation or Adaptation）；2010年發布的RDA規範（Resource Description and Access）則於第17.2和17.3.2項條文中說明在編資料內容語文的著錄方式，由於內容語文並非核心元素，因此若認為該資訊對於讀者在識別或選擇資料上具有重要性，則可於書目中著錄。 從規範面來看，於附註相關欄位中說明資料內容所使用的語言文字，已是實行已久的編目實務，而非新的用法。但如果從MARC 21著錄實務上來看，則有一個相關的問題，亦即如果有需要在書目中著錄內容語文之繁簡中文資訊時，是要著錄在欄位500還是546。依據RDA規範與MARC21的對照表，該表將資料語文相關元素皆對應於欄位546，所以，我們看到在美國國會圖書館的書目，會出現如下所示例的著錄方式： 546  ##  $a In simplified Chinese script. 546  ##  $a In simplified Chinese script, traditional Chinese script and English. 546  ##  $a Text in simplified Chinese and English. 另外，「Auckland Libraries Cataloguing policy for monographs」也將資料內容語文的繁簡中文資訊，對應至欄位546做著錄（2017年公布，詳可參考：https://lianza.org.nz/wp-content/uploads/2020/11/RDAmonographstandardOct...）： 546  ##  $a In traditional Chinese script. 546  ##  $a In simplified Chinese script. 不過，由國外CJK編目社群所建置維護的RDA & CJK Workshop網站（提供有關中日韓資料與RDA規範相關資訊與訓練資料）則認為繁體中文和簡體中文是屬於相同語言及文字，因此建議以欄位500著錄繁簡中文相關資訊（詳可參考：http://rdaandcjkworkshop.pbworks.com/w/page/49263527/Q_A），其著錄方式則會如同您問題中所呈現的範例： 500  ##  $a This book is written in traditional Chinese. 500  ##  $a This book is written in simplified Chinese. 由於上述的差異，造成在抄錄西文書目資料時，可能會發現有的書目使用欄位546著錄內容語文的繁簡中文資訊，另也有的書目著錄在欄位500中，兩種著錄方法在實務上均有被使用，但都不是新的做法。 以上簡要說明提供參考。 國家圖書館館藏發展及書目管理組敬覆"
"2148","0000-00-00 00:00:00","31681","外文書編目","2022-05-25","大大，您好： 有關日文書的編目，多數圖書館比照中文圖書編目，視為中編業務，採用之分類編目規範，無論是記述編目或主題編目，皆與中文圖書相同，例如採用《中國編目規則》或《RDA : Resource Description & Access》（資源描述與檢索）、《中文圖書分類法》、《中文圖書標題表》或《中文主題詞表》、《中國機讀編目格式》或《MARC 21》、《首尾五筆檢字法》或《四角號碼法》等。與中文圖書編目唯一不同的是著者號中之著者時代號係採用〈日本時代表〉，而非〈中國時代表〉。當然也有少數圖書館會將日文書視為西文圖書進行編目，則所採用之分類編目規範當然就與中文圖書編目不同。 有關原文書通常指的是原語文為中文以外的圖書，這類圖書圖書館會將之納為西文圖書編目，視為西編業務（前述日文書若視為西文圖書編目，其所採用之分類編目規範則與西編相同），無論是記述編目或主題編目所採用之規範，均採國際相關規範，例如《AACR2》（英美編目規則第二版）或《RDA : Resource Description & Access》（資源描述與檢索）、《杜威十進分類法》（Dewey Decimal Classification, DDC）或《美國國會圖書館分類法》（Library of Congress Classification, LCC）、《席爾氏標題表》（Sears List of Subject Headings）或《美國國會圖書館標題表》（Library of Congress Subject Headings, LCSH）、《MARC 21》、《克特氏著者號碼表》（Cutter-Sanborn Three Figure Author Table）等。 上述有關分類編目之規範，《中國編目規則》、《AACR2》（英美編目規則第二版）或《RDA : Resource Description & Access》（資源描述與檢索）皆為記述編目規範，目的在使圖書館編目員依據所訂原則針對待編圖書之題名、著者、出版者、集叢名…等資料予以記載，並將之納入圖書館自動化系統之題名、著者、出版者、集叢名…等索引，提供讀者選定特定索引項目進行資料檢索。 《中文圖書標題表》或《中文主題詞表》、《杜威十進分類法》（Dewey Decimal Classification, DDC）或《美國國會圖書館分類法》（Library of Congress Classification, LCC）、《席爾氏標題表》（Sears List of Subject Headings）或《美國國會圖書館標題表》（Library of Congress Subject Headings, LCSH）等，為主題編目規範，目的是讓圖書館編目員依待編圖書之內容主題，於以上規範中選取代表該書主題之標題或主題詞、分類號等，以便用簡潔之文字與標記代表及呈現一書之內容主題，並提供讀者就主題詞彙及分類號進行資料之查詢與瀏覽。 《中國機讀編目格式》或《MARC 21》則為書目資料之建檔格式，每個具自動化作業之圖書館均會擇其中一種做為該館圖書資料建檔格式，方便將記述編目及主題編目結果鍵入圖書館自動化系統，供使用者透過網路及電腦進行資料檢索。 《首尾五筆檢字法》或《四角號碼法》、《克特氏著者號碼表》（Cutter-Sanborn Three Figure Author Table）為取著者號的工具，目的是讓相同分類號之圖書，可再依著者號的取號結果而加以決定圖書於書架上之位置，此也就是索書號，而著者號正是索書號的一部分，即自分類表取得之分類號，再加上著者號以代表一書之索書號，索書號的目的是給予該圖書於圖書館書架上的位置，方便讀者借還書時館員於書架上取書及歸還上架。 圖書館之分類編目等工作，之所以要採用特定的國內或國外之相關規範，其目的在使所編製之書目資料著錄的內容（包括記述編目和主題編目）具有一致性及一定品質，以方便書目資料的交換與共享，節省各圖書館對於同一出版品被不同圖書館所典藏時，重複編目所耗費的人力與時間，同時也利於將我國學術研究成果和各類出版品得以透過書目共享的方式提高國際能見度。 編目工作一直是圖書館專業領域之一，從事分類編目等資訊組織工作的編目人員，必須接受相當之專業訓練，除了熟稔分類編目規範外，並且需累積實務經驗，方能做好編目工作、讓編目成果有一定的水準和品質。 有關日文書及原文書之編目，非三言兩語即可說明清楚，因此也不太適合以諮詢問答的方式就能一蹴可及、達成學習成效，謹附上心理學家佛洛依德（Sigmund Freud）之著作《Abriss der Psychoanalyse》的日文譯本與英文譯國家圖書館編目範例供參。 對於圖書編目相關規範、著錄之原則與方式，臺端或可參考國家圖書館編目園地所提供之資訊組織相關研習與課程（https://catweb.ncl.edu.tw/training/course）及國家圖書館遠距學園的圖書資訊課程（https://cu.ncl.edu.tw/mooc/explorer.php）來進一步了解與學習編目的方法及技巧。而國家圖書館每年均會針對圖書館從業人員辦理多場次之專業訓練課程，也是另一種圖書分類編目的學習管道，提供臺端參考。 國家圖書館 館藏發展及書目管理組 敬覆 一、日文書編目範例： LDR 00000cam a2200253Ii 4500 1 1346456 3 ChTaNC 5 20200800000000 8 040806s1977    ja     e      000 0 jpn d 167 $a 001346456 $z 101575131 $2 ChTaNC 20 $q (平裝) 40 $a CYT $b chi $c CYT $d CYT $e ccr 411 $a jpn $h eng 66 $c $1 84 $a 175.7 $b 8738 $2 ncsclt 1001 $a 佛洛伊德 $c (Freud, Sigmund), $d 1856-1939 24510 $a 精神分析入門 / $c フロイト著 ; 高橋義孝, 下坂幸三訳 260 $a 東京都 : $b 新潮社, $c 昭和52[1977] 300 $a 2冊 ; $c 15公分 4900 $a 新潮文庫 500 $a フロイト中譯佛洛伊德 650 7 $a 精神分析 $2 lcstt 7001 $a 下坂幸三, $d 1929-2006 7001 $a 高橋義孝 7001 $a Freud, Sigmund, $d 1856-1939. 二、西文書編目範例 LDR 00736cam a2200241Ii 4500 1 1115624 3 ChTaNC 5 20090100000000 8 901129s1969    nyu      b    001 u eng d 167 $a 001115624 $z 101445658 $2 ChTaNC 20 $a 0393001512 $q (pbk.) 40 $a CYT $b eng $c CYT $d CYT 411 $a eng $h ger 5014 $a BF173 1001 $a Freud, Sigmund, $d 1856-1939. 24010 $a Abriss der Psychoanalyse. $l English 24510 $a An outline of psycho-analysis / $c Sigmund Freud ; translated and newly edited by James Strachey 250 $a Rev. ed. 264 1 $a New York : $b W. W. Norton 264 4 $c ©1969. 300 $a xi, 75 pages ; $c 18 cm. 336 $a text $b txt $2 rdacontent 337 $a unmediated $b n $2 rdamedia 338 $a volume $b nc $2 rdacarrier 504 $a Bibliography: p. 67-69. 650 0 $a Psychoanalysis. 7001 $a Strachey, James."
"2149","0000-00-00 00:00:00","31683","叢書編目方式以及書標冊次號","2022-05-27","小強，您好： 有關鬼吹燈系列圖書，兩套中的第1套計10冊、有5個編次名稱，第2套計8冊、有4個編次名稱。 若採套書單編方式，則第1套以5個編次之每個編次編製1筆書目紀錄，同樣的第2套以4個編次之每個編次編製1筆書目紀錄，總計會有9筆書目，以各編次名稱著錄為正題名、「鬼吹燈」系列納為集叢名。為了便於集中排架，其索書號之冊次號可採以下方式編製，即以v.1及v.2代表第1套及第2套、以no.1及no.2等代表第1個編次及第2個編次等、以pt.1及pt.2代表上冊及下冊，依此類推。 若採套書套編方式，有兩種作法： 第1種作法是第1套以5個編次共同編製1筆書目紀錄，同樣的第2套以4個編次共同編製1筆書目紀錄，總計會有2筆書目，並以「鬼吹燈. 1」及「鬼吹燈. 2」分別作為第1筆及第2筆書目之正題名，第1筆書目另以第1套之各編次的題名建立內容註、第2筆書目則以第2套之各編次的題名建立內容註。為了便於集中排架，其索書號之冊次號仍可採上述方式進行編製。 第2種作法是第1套及第2套共同編製1筆書目紀錄，即以「鬼吹燈」作為該筆書目之正題名，並將第1套各編次的題名及第2套各編次的題名共同建立內容註。為了便於集中排架，其索書號之冊次號仍可採上述方式進行編製。 在編目實務上，比較少見將同套書之上下冊分開建立兩筆書目。 國家圖書館 館藏發展及書目管理組 敬覆"
"2150","0000-00-00 00:00:00","31684","LCC輔助表疑問","2022-06-02","貝貝您好： 有關國會圖書館分類法（LCC）輔助表圓括號中的資訊，依問題中所提「Table of regions or countries (1000 numbers)」而言，是標示該輔助表中所含複分號範圍資訊，如： 輔助表號 輔助表名稱 目前輔助表內 圓括號資訊意義 複分號起迄 N1 Table of regions or countries (100 numbers) 1-96.3 代表本輔助表複分號起迄跨度為100號 N2 Table of regions or countries (200 numbers) 1-185 代表本輔助表複分號起迄跨度為200號 N3 Table of regions or countries (300 numbers) 1-277 代表本輔助表複分號起迄跨度為300號 N4 Table of regions or countries (300 numbers) 1-294.5 代表本輔助表複分號起迄跨度為300號 N5 Table of regions or countries (1000 numbers) 1-914 代表本輔助表複分號起迄跨度為1000號 這類型的輔助表，以數值做為各地區或國家的複分號，在使用時，須將輔助表中的複分號，加上本表中的基礎號（base number），以建構出正確的分類號，以下是兩個使用這類輔助表建構分類號的範例： 資料範例 本表類號及類目 取號用基礎號 輔助表複分號 建構完成之 Base number 分類號 The study of Chinese fine art education, 1912-1949 N101-285 N100 Table N2 N267 Visual arts — Study and teaching. Research — History — Special regions or countries (Table N2) 167 （=N100 + 167） Add country number in table to N100 China — General Roman architectural ornament in Britain NA3501-3596.3 NA3500 Table N1 NA3543 Architecture — Architectural decoration — Special regions or countries (Table N1) 43 （=N3500 + 43） Add country number in table to NA3500 Great Britain. England — General 至於問題中所提第2種輔助表「Subarrangement for special countries (Cutter number)」，例如，Table N15、N16等，圓括號內的訊息，指該輔助表中所列複分號，是用在以克特號做地區或國別複分的分類號上。使用LCC建構分類號時，如遇到需要地區或國別複分者，有兩種取號方式，第一種即是上列所述以輔助表複分號加上基礎號，另一種則是直接依國家或地理區域名稱取克特號（如，Taiwan的克特號取T28），這樣的分類號通常會在本表中載明「... regions or countries, A-Z」，取號時可使用""Library of Congress Classification and Shelflisting Manual""中的「Regions and Countries Table G 300」為地理區域或國家名稱取克特號，協助在地區或國別複分時，克特號取號的一致性（網址：https://www.loc.gov/aba/publications/FreeCSM/G300.pdf）。問題2中所提到的分類號「NK4670.7」就屬於以克特號做地區與國別複分的例證，而在做完地區或國別複分後，如果還有需要再為與某一國家相關的所有作品做進一步細分，就會使用到「Subarrangement for special countries (Cutter number)」，例如： 資料範例 本表類號及類目 地區 輔助表複分號 建構完成之 或國別複分 分類號 重返花磚時光 : 再續台灣花磚之美 NK4670.7.A-Z T28 Table N15 NK4670.7.T28 Decorative arts. Applied arts. Decoration and ornament — Other arts and art industries — Ceramics — Special objects — Tiles. Earthenware stoves — Special regions or countries, A-Z （Taiwan） .x    General works Subarrange each country by Table N15 .x代表在使用此複分表前已完成的類號部分， .x 後面沒有再加複分號，代表如果在編資料主題為某一國家的General works ，則不必再加複分號 Kütahya tiles and pottery from the Armenian Cathedral of St. James, Jerusalem T9 Table N15 NK4670.7.T92 K832 （Turkey） .x2A-.x2Z　Local, A-Z 在 T9 後面加上複分號 2 ，之後再依城市名稱Kütahya，取第2克特號 K832 如果在編資料主題與某一國家的一個地方、城市相關，則在已完成地區或國別複分的分類號之後，加數值 2，再依城市或地方名稱取第2克特號 LCC的輔助表其實非常多，每個輔助表的使用都要確實依本表各類目的說明使用，無法在此一一詳述或歸納所有情況，所以上述的輔助表取號說明，主要是依據問題中所述相關輔助表做整理。在使用LCC取分類號的實務上，建議詳查本表中相關分類號的取號說明，依說明使用相關輔助表，才能取得正確的分類號及索書號。 以上回覆提供您參考。 國家圖書館館藏發展及書目管理組敬覆"
"2151","0000-00-00 00:00:00","31686","分類號949.9","2022-06-07","魏小姐，您好： 《現代與後現代之間：李仲生與臺灣現代藝術》一書之類號於國家圖書館出版品預行編目（CIP）資料所提供之《中文圖書分類法》（2007年版）分類號「949.9」問題，已連繫本館書號中心修正本項誤植（修正後之分類號為「949.7」），日後若有發現類似情形，可逕洽書號中心CIP服務專線：(02)23619132轉分機701至706。 國家圖書館 館藏發展及書目管理組 敬覆"
"2152","0000-00-00 00:00:00","31687","中文編目翻譯書的外國作者姓名有Jr時，欄位100中應如何做Jr?","2022-06-10","嗨魚，您好： 外文中譯圖書，若著者原文姓名中含有「Jr.」，原文姓名之著者標目，會是先列姓、再列名、後跟隨「Jr.」，例如：「Elkus, Richard J., Jr.」。 以本館的做法，除了在MARC 21欄位700建立原文姓名之著者標目外，MARC 21欄位100則會以著者中文姓氏（即將該著者原文姓氏譯為中文）加原文姓名建立著者標目，例如：「艾爾格斯 (Elkus, Richard J., Jr.)」，由於「Jr.」放於原文名字後，故不影響中文著者標目中譯姓氏，茲舉範例如下，提供參考： 100 1# $a艾爾格斯 $c (Elkus, Richard J., Jr.), $e 文字作者 240 10 $a Winner take all. $l 中文 245 10 $a贏家競爭力 : $b 讓美國不再獨強的因素 / $c 理察.艾爾格斯(Richard J. Elkus Jr.)作 ; 楊語芸譯 700 1# $a Elkus, Richard J., $c Jr., $e author 700 1# $a 楊語芸, $e 譯者 臺端所提著者姓名「Theodore Schick, Jr.」，若依前述方式，其著者標目為 100 1# $a希克 $c (Schick, Theodore, Jr.), $e 文字作者 700 1# $a Schick, Theodore, $c Jr., $e author 然而經查「Library of Congress Authorities」（https://authorities.loc.gov/），結果顯示該人即使於其著作之書名頁出現「Theodore Schick, Jr.」，其在LC之權威標目係為「Schick, Theodore」、而非「Theodore Schick, Jr.」。 若依據LC經權威控制後的權威標目，則「Theodore Schick, Jr.」之外文中譯著作的相關著者標目如下： 100 1# $a希克 $c (Schick, Theodore), $e 文字作者 700 1# $a Schick, Theodore, $e author 國家圖書館 館藏發展及書目管理組 敬覆"
"2153","0000-00-00 00:00:00","31688","出版書籍書名第二版","2022-06-14","呂小姐，您好： 圖書出版有所謂「版本」與「版次」的考量。 「版本」的定義為書籍因編輯、傳抄、刻版、排版或裝訂方式等不同，而有各類版本問世。如活字本、寫本、抄本、影本等，也作「板本」（資料來源：https://dict.revised.moe.edu.tw/dictView.jsp?ID=16641&q=1&word=%E7%89%88%E6%9C%AC）。 「版次」係指書籍發行的次數。指書籍內容有所修正、刪改或增加者，如初版、再版、三版等。若重印書籍，但內容未有變更者不能稱「版」（參考資料：https://dict.revised.moe.edu.tw/dictView.jsp?ID=16661&word=%E7%89%88%E6%AC%A1）。 「增訂版」、「修訂版」，皆指「版次」，而非「版本」。 臺端所提問題，若書名使用與第一版相同之書名，則於出版圖書時，需加上版次為「第二版」或「再版」，然而前提是「第二版」或「再版」與「第一版」或「初版」之出版者需相同，方能視為不同版次，若出版者前後不同，則為不同版本，版次可自「第一版」或「初版」開始。 另因臺端特別提及本次圖書出版之內容，與民國89年出版第一版時之內容，幾乎是全新的內容，各章節除部分保留名稱外，內容幾乎全部更新，且著者也由1位改為2位，依臺端所述情形，由於內容變動幅度頗大，因此書名亦可不必與第一版之書名相同，如果另取書名，則自「第一版」或「初版」開始。 國家圖書館 館藏發展及書目管理組 敬覆"
"2154","0000-00-00 00:00:00","31689","關於館內採用RDA後的編目工作問題","2022-06-16","Amy Wu，您好： 圖書館改採RDA編目前，有許多工作必須預先準備，包括規範內容的熟悉（係指了解前後不同編目規範之用詞與著錄來源、必備或核心元素等相關規定與差異）、人員的教育訓練、貴館的編目政策（指對於RDA之替代選項、選擇性條款、例外等規定，貴館希望採行的原則為何）、編目的參考工具（例如：RDA Toolkit、《RDA中文手冊初稿》、《錄音及錄影資源RDA編目參考手冊》、《RDA書目關係編目參考手冊》）、編目環境及線上目錄相關功能（指RDA編目範本的準備、調整系統索引參數等）、參考他館經驗、進行編目試做、收集相關問題及尋求解決之道。 貴館若實施RDA編目，除了著錄原則、控制詞彙、著錄語文等編目政策外，圖書館尚需留意權威檢索點的考量，以便委外編目時可以正確著錄，並且透過各資料類型RDA編目範本與著錄說明，明確讓委外編目人員瞭解相關要求及書目品質，減少後續資料回館檢查、驗證及修改的時間與人力。圖書館編目採行委外，則RDA編目之MARC 21著錄欄位皆可由委外廠商之編目人員逕行著錄，廠商完成編目及資料到館後，再由編目館員進行書目內容檢查是否著錄正確及符合貴館要求。開始採用RDA前的準備工作越完善，有助於委外編目使用RDA著錄工作的順暢度及加速館員後續審核書目內容之精確度。 國家圖書館 館藏發展及書目管理組 敬覆"
"2155","0000-00-00 00:00:00","31690","電子書","2022-06-17","Amy Wu，您好： 「EBK」或「ebk」是一種檔案格式，一般指電子圖書（或簡稱電子書）的檔案格式，例如「.ebk」，然而有時也會當成「ebook」的縮寫。 凡在中華民國境內依法出版之公司行號、政府機關、團體會社、個人等出版者，其出版品只要符合以下範圍（https://isbn.ncl.edu.tw/NEW_ISBNNet/main_ProcessMenuItems.php?Ptarget=356&Pact=ViewContent&Pval=356&Pfld=Ffile），皆可向國家圖書館國際標準書號中心申請ISBN。 1. 20頁以上的圖書（童書、立體書不在此限）。 2. 地圖、盲人點字書。 3. 有聲書：包括錄音帶、光碟版或數位等型式。 4. 縮影型式出版品。 5. 電子出版品：包括數位形式及以實際載體公開發行之電子書。 6. 以文字為主體的多媒體混合出版品。 因此，電子書也可以申請ISBN（俗稱eISBN），且紙本書和電子書需分別申請，勿共用同一個ISBN，亦即紙本書和電子書之ISBN是不同的。電子出版品若有不同版本、不同格式（例如：epub或pdf）、不同語言，皆須另行申請新的ISBN。 同一本書的紙本書及電子書，除了ISBN有所不同外，編目上通常會為紙本書及電子書分別編製1筆書目紀錄。 在MARC 21格式著錄上，紙本書及電子書之ISBN皆著錄於欄位020，且由於電子書之不同格式（例如：epub或pdf）會有不同的ISBN，因此以欄位020著錄電子書之ISBN時，以重複欄位020之方式著錄不同格式的ISBN（分欄$a著錄ISBN、分欄$q著錄檔案格式）。 以下為 同一本書的紙本書及電子書之ISBN範例： 書名《兒科好醫師最新營養功能醫學：預防、治療、照護 : 兒童異位性皮膚炎、過動、自閉、尿床、身材矮小、體重過輕、糖尿病、白血病》 紙本書的ISBN    9789860605839 (平裝) 新臺幣350元 電子書的ISBN    9789860605884 (PDF) 新臺幣350元 紙本書以MARC 21著錄時，欄位020之著錄方式： 020 ## $a 9789860605839 $q (平裝) : $c NT$350 245 10 $a兒科好醫師最新營養功能醫學 : $b 預防、治療、照護 : 兒童異位性皮膚炎、過動、自閉、尿床、身材矮小、體重過輕、糖尿病、白血病 / $c 胡文龍著 電子書以MARC 21著錄時，欄位020之著錄方式： 020 ## $a 9789860605884 $q (PDF) : $c NT$350 245 10 $a兒科好醫師最新營養功能醫學 : $b 預防、治療、照護 : 兒童異位性皮膚炎、過動、自閉、尿床、身材矮小、體重過輕、糖尿病、白血病 / $c 胡文龍著 國家圖書館 館藏發展及書目管理組 敬覆"
